Graph,k,Step 1,Step 2A,Step 2B,Step 2C,Step 2D,Step 2E,Step 2F,Step 3,Total
patent_graph,4,123,10,2,1,8,2,8,17,171
patent_graph,5,122,10,2,1,8,2,9,16,170
patent_graph,6,119,14,2,1,8,2,9,16,171
patent_graph,7,123,12,3,2,8,2,10,19,179
patent_graph,8,116,12,4,2,8,2,9,18,171
patent_graph,9,121,13,4,3,8,2,9,17,177
patent_graph,10,117,14,4,3,8,2,9,18,175
twitter,4,108,0,0,0,0,0,0,1,109
twitter,5,109,0,0,0,0,0,0,1,110
twitter,6,110,1,0,0,0,0,0,1,112
twitter,7,108,1,0,0,0,0,0,1,110
twitter,8,108,1,0,0,0,0,0,1,110
twitter,9,112,1,0,0,0,0,0,1,114
twitter,10,110,1,0,0,0,0,0,1,112
coauthor,4,112,0,0,0,0,0,0,0,112
coauthor,5,109,0,0,0,0,0,0,0,109
coauthor,6,109,0,0,0,0,0,0,0,109
coauthor,7,114,0,0,0,0,0,0,0,114
coauthor,8,118,1,0,0,0,0,0,0,119
coauthor,9,128,1,0,0,0,0,0,0,129
coauthor,10,110,1,0,0,0,0,0,1,112
soc-orkut,4,199,114,20,8,87,5,110,2106,2649
soc-orkut,5,193,120,31,11,91,8,126,2397,2977
soc-orkut,6,193,131,36,15,94,10,156,45064,45699
soc-orkut,7,193,134,41,17,93,10,157,44612,45257
soc-orkut,8,208,160,45,24,106,11,183,45292,46029
soc-orkut,9,204,169,51,30,105,11,188,54655,55413
soc-orkut,10,205,169,49,28,101,11,191,62897,63651
soc-lastfm,4,120,8,2,1,6,1,9,357,504
soc-lastfm,5,114,9,2,1,6,1,9,828,970
soc-lastfm,6,116,10,2,1,7,1,10,1384,1531
soc-lastfm,7,120,11,3,2,7,1,10,1555,1709
soc-lastfm,8,113,11,3,2,6,1,10,2172,2318
soc-lastfm,9,118,14,4,3,7,1,12,3369,3528
soc-lastfm,10,128,17,6,5,7,1,14,3787,3965
soc-pokec,4,149,25,6,2,20,2,23,32,259
soc-pokec,5,129,25,7,3,20,4,23,44,255
soc-pokec,6,128,30,8,4,21,4,27,1091,1313
soc-pokec,7,147,33,10,5,22,4,29,2084,2334
soc-pokec,8,132,39,11,7,23,4,33,3236,3485
soc-pokec,9,136,47,17,12,24,5,37,4653,4931
soc-pokec,10,132,48,16,12,23,5,38,6049,6323
soc-livejournal,4,136,33,8,2,26,3,30,39,277
soc-livejournal,5,136,35,9,3,27,4,30,49,293
soc-livejournal,6,136,36,11,5,27,4,32,89,340
soc-livejournal,7,136,38,12,6,27,4,33,96,352
soc-livejournal,8,136,39,11,6,29,4,35,108,368
soc-livejournal,9,138,42,12,6,27,4,34,113,376
soc-livejournal,10,149,45,15,9,27,4,35,122,406
soc-sinaweibo,5,390,585,132,70,396,44,742,1279038,1281397
