Graph,k,RS,|V_b|,|E_b|,HIS,ABC,Speedup (HIS/RS(GPU)),Speedup (ABC/RS(GPU))
coauthor,4,112,,,132,607.18,,
coauthor,5,109,,,185,607.18,,
coauthor,6,109,,,280,607.18,,
coauthor,7,114,,,486,607.18,,
twitter,4,109,,,422,549.43,,
twitter,5,110,,,611,549.43,,
twitter,6,112,,,1095,549.43,,
twitter,7,110,,,1844,549.43,,
patent,4,171,,,15542,79831.16,,
patent,5,170,,,22645,79831.16,,
patent,6,171,,,40077,79831.16,,
patent,7,179,,,72744,79831.16,,
soc-lastfm,4,504,,,10118,16187.65,,
soc-lastfm,5,970,,,18816,16187.65,,
soc-lastfm,6,1531,,,46159,16187.65,,
soc-lastfm,7,1709,,,54845,16187.65,,
soc-orkut,4,2649,,,246808,250256.39,,
soc-orkut,5,2977,,,206876,250256.39,,
soc-orkut,6,45699,,,267935,250256.39,,
soc-orkut,7,45257,,,306812,250256.39,,
soc-pokec,4,259,,,154071,87307.11,,
soc-pokec,5,255,,,201150,87307.11,,
soc-pokec,6,1313,,,230545,87307.11,,
soc-pokec,7,2334,,,324634,87307.11,,
soc-livejournal,4,277,,,249213,132016.27,,
soc-livejournal,5,293,,,237632,132016.27,,
soc-livejournal,6,340,,,327625,132016.27,,
soc-livejournal,7,352,,,447823,132016.27,,
